m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu,cu_pred,CU
0.2,20,0.04,-3.186408635,-0.992167961,3.688879454,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186,5.0140214,4.999999998
0.5,15,0.08,-3.702572781,-1.701246231,4.029806041,1.609437912,6.214608098,-2.302585093,0.633904262,4.605170186,4.07104,4.999999998
0.5,20,0.08,-3.50789212,-1.320356819,4.605170186,1.609437912,6.214608098,-2.302585093,0.633904262,4.605170186,6.6810646,4.999999998
0.2,10,0.04,-3.917035547,-2.237659147,2.302585093,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367,5.661991,4.999999998
0.5,5,0.04,-3.942482213,-2.813744106,1.832581464,1.609437912,6.907755279,-1.609437912,0.34622219,5.298317367,5.138563,4.999999998
0.1,15,0.04,-5.035953102,-2.825415824,2.420368129,2.302585093,6.907755279,-1.609437912,0.633904262,4.605170186,10.120799,10
0.2,15,0.04,-4.052435159,-2.000201618,3.113515309,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186,8.785954,10
0.5,15,0.08,-3.858482239,-1.816511284,4.029806041,1.609437912,6.907755279,-2.302585093,1.03936937,5.298317367,4.1208143,4.999999998
0.2,20,0.08,-4.297685486,-2.05635021,3.688879454,1.609437912,6.907755279,-2.302585093,1.03936937,5.298317367,4.921672,4.999999998
0.1,20,0.04,-3.986746552,-1.760051522,2.995732274,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367,5.2071733,4.999999998
0.5,10,0.04,-3.597942459,-1.913954222,3.218875825,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186,10.335,10
0.5,10,0.04,-3.464776363,-1.787942762,3.218875825,1.609437912,6.907755279,-1.609437912,0.34622219,5.298317367,6.6858115,4.999999998
0.5,20,0.04,-2.94541946,-0.649612708,4.605170186,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186,10.486271,10
0.5,20,0.04,-2.94541946,-0.649612708,4.605170186,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186,10.486271,10
0.2,15,0.04,-4.194385916,-2.112130036,3.113515309,3.218875825,7.824046011,0,1.550194994,4.605170186,14.646763,25
0.5,15,0.08,-3.993233061,-1.925025754,4.029806041,1.609437912,7.824046011,-2.302585093,1.732516551,6.214608098,4.330986,4.999999998
0.5,10,0.04,-4.688551795,-2.848140197,3.218875825,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186,24.085754,25
0.1,10,0.04,-4.601178165,-2.827644877,1.609437912,1.609437912,7.824046011,-2.302585093,1.03936937,6.214608098,4.975572,4.999999998
0.1,15,0.04,-3.615628992,-1.670760278,2.420368129,1.609437912,7.824046011,0,1.03936937,6.214608098,5.1674957,4.999999998
0.1,15,0.04,-3.615628992,-1.670760278,2.420368129,1.609437912,7.824046011,0,1.03936937,6.214608098,5.1674957,4.999999998
0.5,10,0.04,-3.302257434,-1.618599754,3.218875825,1.609437912,7.824046011,-2.302585093,1.03936937,6.214608098,5.869412,4.999999998
0.5,10,0.04,-4.688551795,-2.848140197,3.218875825,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186,24.085754,25
0.2,15,0.04,-4.876978909,-2.711877516,3.113515309,3.218875825,7.824046011,-2.302585093,1.550194994,4.605170186,24.224669,25
0.5,5,0.04,-3.711534145,-2.63839355,1.832581464,1.609437912,7.824046011,-2.302585093,1.03936937,6.214608098,5.2273884,4.999999998
0.5,15,0.08,-4.361440001,-2.187757532,4.029806041,1.609437912,7.824046011,-1.609437912,1.732516551,6.214608098,5.783933,4.999999998
0.5,10,0.08,-3.061872076,-1.497932317,3.218875825,0,5.298317367,-1.609437912,-0.570068542,5.298317367,1.0216832,1
0.5,15,0.08,-2.815078774,-1.017172404,4.029806041,0,5.298317367,-1.609437912,-0.570068542,5.298317367,1.1131759,1
0.5,15,0.08,-2.815078774,-1.017172404,4.029806041,0,5.298317367,-1.609437912,-0.570068542,5.298317367,1.1131759,1
0.2,5,0.04,-3.315937538,-2.323032728,0.916290732,0,5.298317367,-1.609437912,-1.263215723,5.298317367,1.1424636,1
0.1,15,0.08,-3.897134393,-2.113751453,2.420368129,0,5.298317367,-1.609437912,-0.570068542,5.298317367,1.1490823,1
0.2,5,0.04,-2.187650555,-1.271809202,0.916290732,0,5.298317367,0,-1.263215723,5.298317367,0.9371885,1
0.1,5,0.04,-3.9633163,-2.840507885,0.223143551,0,5.298317367,-1.609437912,-1.263215723,5.298317367,1.0329924,1
0.1,10,0.04,-3.080419082,-1.583789659,1.609437912,0,5.298317367,-2.302585093,-1.263215723,5.298317367,1.0600308,1
0.2,10,0.08,-3.379044577,-1.923272329,2.302585093,0,5.298317367,-2.302585093,-0.570068542,5.298317367,0.99633354,1
0.1,10,0.04,-3.080419082,-1.583789659,1.609437912,0,5.298317367,-2.302585093,-1.263215723,5.298317367,1.0600308,1
0.1,15,0.08,-3.543913684,-1.892013048,2.420368129,0,5.298317367,-2.302585093,-0.570068542,5.298317367,1.0260353,1
0.5,20,0.08,-4.260163047,-1.906874068,4.605170186,2.302585093,7.60090246,-2.302585093,1.732516551,5.298317367,8.520129,10
0.5,20,0.04,-3.172469452,-0.861206134,4.605170186,2.302585093,7.60090246,-2.302585093,1.03936937,5.298317367,10.652955,10
0.2,10,0.04,-4.806063128,-2.955204722,2.302585093,2.302585093,7.60090246,-1.609437912,1.03936937,5.298317367,9.556702,10
0.1,20,0.04,-3.91904762,-1.688307975,2.995732274,2.302585093,7.60090246,0,1.03936937,5.298317367,9.097676,10
0.5,15,0.04,-2.697703909,-0.673697557,4.029806041,2.302585093,7.60090246,0,1.03936937,5.298317367,10.183741,10
0.2,20,0.04,-3.339349978,-1.096183241,3.688879454,2.302585093,7.60090246,0,1.03936937,5.298317367,7.578137,10
0.5,20,0.08,-4.260163047,-1.906874068,4.605170186,2.302585093,7.60090246,-2.302585093,1.732516551,5.298317367,8.520129,10
0.2,15,0.04,-3.524043212,-1.497216983,3.113515309,2.302585093,7.60090246,0,1.03936937,5.298317367,8.247059,10
0.2,10,0.04,-4.806063128,-2.955204722,2.302585093,2.302585093,7.60090246,-1.609437912,1.03936937,5.298317367,9.556702,10
0.2,20,0.04,-4.330573353,-1.988241616,3.688879454,2.302585093,7.60090246,-1.609437912,1.03936937,5.298317367,12.775977,10
0.2,20,0.04,-4.330573353,-1.988241616,3.688879454,2.302585093,7.60090246,-1.609437912,1.03936937,5.298317367,12.775977,10
0.2,20,0.04,-4.172089911,-1.826201857,3.688879454,2.302585093,8.517193191,-2.302585093,1.732516551,6.214608098,14.576737,10
0.5,15,0.04,-2.823124409,-0.787396323,4.029806041,2.302585093,8.517193191,0,1.732516551,6.214608098,10.367058,10
0.1,15,0.04,-5.210306489,-2.978993158,2.420368129,2.302585093,8.517193191,-1.609437912,1.732516551,6.214608098,10.23077,10
0.5,20,0.08,-4.385231766,-2.00556674,4.605170186,2.302585093,8.517193191,-2.302585093,2.425663731,6.214608098,10.073694,10
0.2,15,0.04,-3.626092466,-1.586913502,3.113515309,2.302585093,8.517193191,0,1.732516551,6.214608098,8.530298,10
0.5,20,0.08,-3.63212112,-1.396684149,4.605170186,2.302585093,8.517193191,0,2.425663731,6.214608098,9.238455,10
0.5,15,0.04,-3.545991967,-1.462294584,4.029806041,3.218875825,8.517193191,0,1.955660102,5.298317367,20.257801,25
0.1,20,0.04,-4.71721969,-2.370221742,2.995732274,2.302585093,8.517193191,-2.302585093,1.732516551,6.214608098,11.960266,10
0.5,15,0.04,-3.545991967,-1.462294584,4.029806041,3.218875825,8.517193191,0,1.955660102,5.298317367,20.257801,25
0.5,10,0.04,-3.111367617,-1.453511667,3.218875825,2.302585093,8.517193191,0,1.732516551,6.214608098,6.8936224,10
0.5,20,0.04,-3.310443018,-0.973358562,4.605170186,3.218875825,8.517193191,0,1.955660102,5.298317367,17.071318,25
0.5,15,0.04,-4.723953722,-2.566602724,4.029806041,3.218875825,9.433483923,-1.609437912,2.648807283,6.214608098,24.568413,25
0.5,15,0.04,-3.649658741,-1.559829036,4.029806041,3.218875825,9.433483923,0,2.648807283,6.214608098,20.042192,25
0.2,15,0.04,-4.377238118,-2.29188257,3.113515309,3.218875825,9.433483923,0,2.648807283,6.214608098,15.980493,25
0.2,20,0.04,-5.306349538,-2.802338903,3.688879454,3.218875825,9.433483923,-1.609437912,2.648807283,6.214608098,24.301195,25
0.2,15,0.04,-5.146455017,-2.885336456,3.113515309,3.218875825,9.433483923,-2.302585093,2.648807283,6.214608098,24.21233,25
0.2,20,0.04,-4.958992061,-2.524679195,3.688879454,3.218875825,9.433483923,-2.302585093,2.648807283,6.214608098,24.396057,25
0.2,20,0.04,-4.958992061,-2.524679195,3.688879454,3.218875825,9.433483923,-2.302585093,2.648807283,6.214608098,24.396057,25
0.2,20,0.04,-4.198372633,-1.852121126,3.688879454,3.218875825,9.433483923,0,2.648807283,6.214608098,16.861517,25
0.5,10,0.04,-3.904054836,-2.190471431,3.218875825,3.218875825,9.433483923,0,2.648807283,6.214608098,14.580665,25
0.2,15,0.04,-5.146455017,-2.885336456,3.113515309,3.218875825,9.433483923,-2.302585093,2.648807283,6.214608098,24.21233,25
0.5,15,0.04,-3.649658741,-1.559829036,4.029806041,3.218875825,9.433483923,0,2.648807283,6.214608098,20.042192,25
0.2,10,0.04,-2.437717767,-0.936932311,2.302585093,0,5.298317367,-2.302585093,-1.263215723,5.298317367,0.98339725,1
0.5,15,0.08,-3.01023696,-1.13576602,4.029806041,0,6.214608098,-1.609437912,0.123078638,6.214608098,1.1529807,1
0.5,5,0.04,-2.039605633,-1.081472026,1.832581464,0,5.298317367,-2.302585093,-1.263215723,5.298317367,1.0568874,1
0.5,10,0.08,-2.864002503,-1.3632343,3.218875825,0,4.605170186,-1.609437912,-0.97553365,4.605170186,1.006721,1
0.1,10,0.04,-2.873160721,-1.443211863,1.609437912,0,4.605170186,-2.302585093,-1.668680831,4.605170186,1.0339521,1
0.5,15,0.08,-3.01023696,-1.13576602,4.029806041,0,6.214608098,-1.609437912,0.123078638,6.214608098,1.1529807,1
0.5,5,0.04,-2.686484423,-1.691754871,1.832581464,0,6.214608098,-1.609437912,-0.570068542,6.214608098,1.1661345,1
0.2,10,0.08,-3.604538306,-2.084639025,2.302585093,0,4.605170186,-1.609437912,-0.97553365,4.605170186,0.98788494,1
0.1,5,0.04,-3.711534145,-2.673185114,0.223143551,0,6.214608098,-2.302585093,-0.570068542,6.214608098,1.0329924,1
0.5,5,0.04,-2.261059346,-1.285877244,1.832581464,0,6.214608098,-2.302585093,-0.570068542,6.214608098,1.0646734,1
0.1,5,0.04,-2.827171632,-1.913954222,0.223143551,0,5.298317367,0,-1.263215723,5.298317367,0.97163546,1
0.5,20,0.08,-3.796910198,-1.527968531,4.605170186,1.609437912,7.824046011,-2.302585093,1.732516551,6.214608098,5.4406204,4.999999998
0.1,10,0.04,-4.495419322,-2.745316026,1.609437912,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367,5.0776024,4.999999998
0.2,20,0.04,-3.583438942,-1.302865393,3.688879454,1.609437912,7.824046011,-2.302585093,1.03936937,6.214608098,5.068116,4.999999998
0.1,10,0.04,-4.601178165,-2.827644877,1.609437912,1.609437912,7.824046011,-2.302585093,1.03936937,6.214608098,4.975572,4.999999998
0.5,10,0.04,-3.464776363,-1.787942762,3.218875825,1.609437912,6.907755279,-1.609437912,0.34622219,5.298317367,6.6858115,4.999999998
0.5,20,0.08,-3.50789212,-1.320356819,4.605170186,1.609437912,6.214608098,-2.302585093,0.633904262,4.605170186,6.6810646,4.999999998
0.2,15,0.04,-3.684090937,-1.674424534,3.113515309,1.609437912,6.214608098,-1.609437912,-0.059242918,4.605170186,5.6834135,4.999999998
0.5,5,0.04,-2.894259305,-1.879856526,1.832581464,1.609437912,6.907755279,0,0.34622219,5.298317367,5.1191463,4.999999998
0.5,20,0.08,-3.654284809,-1.411833732,4.605170186,1.609437912,6.907755279,-2.302585093,1.03936937,5.298317367,5.8303633,4.999999998
0.5,20,0.08,-3.796910198,-1.527968531,4.605170186,1.609437912,7.824046011,-2.302585093,1.732516551,6.214608098,5.4406204,4.999999998
0.2,10,0.04,-3.207441447,-1.570140279,2.302585093,1.609437912,6.907755279,0,0.34622219,5.298317367,4.226022,4.999999998
0.2,15,0.04,-4.230851807,-2.15254571,3.113515309,2.302585093,7.60090246,-2.302585093,1.03936937,5.298317367,13.972764,10
0.5,15,0.04,-2.697703909,-0.673697557,4.029806041,2.302585093,7.60090246,0,1.03936937,5.298317367,10.183741,10
0.2,10,0.04,-3.695300022,-2.02286463,2.302585093,2.302585093,6.907755279,0,0.633904262,4.605170186,8.14566,10
0.2,15,0.04,-3.524043212,-1.497216983,3.113515309,2.302585093,7.60090246,0,1.03936937,5.298317367,8.247059,10
0.2,15,0.04,-3.399199379,-1.390945159,3.113515309,2.302585093,6.907755279,0,0.633904262,4.605170186,7.889349,10
0.1,15,0.04,-5.210306489,-2.978993158,2.420368129,2.302585093,8.517193191,-1.609437912,1.732516551,6.214608098,10.23077,10
0.2,10,0.04,-4.884884089,-3.023884865,2.302585093,2.302585093,8.517193191,-1.609437912,1.732516551,6.214608098,9.556702,10
0.5,10,0.04,-3.891240466,-2.195705731,3.218875825,2.302585093,6.907755279,-1.609437912,0.633904262,4.605170186,12.053216,10
0.2,15,0.04,-4.230851807,-2.15254571,3.113515309,2.302585093,7.60090246,-2.302585093,1.03936937,5.298317367,13.972764,10
0.5,10,0.04,-3.597942459,-1.913954222,3.218875825,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186,10.335,10
0.5,15,0.04,-3.520656822,-1.464748997,4.029806041,2.302585093,6.907755279,-1.609437912,0.633904262,4.605170186,11.24303,10
0.2,20,0.04,-4.947660495,-2.555466463,3.688879454,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186,24.396057,25
0.2,15,0.04,-5.014643315,-2.803130407,3.113515309,3.218875825,8.517193191,-2.302585093,1.955660102,5.298317367,24.224669,25
0.5,20,0.04,-4.147745339,-1.790456319,4.605170186,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186,22.789259,25
0.5,10,0.04,-4.530062714,-2.726132709,3.218875825,3.218875825,8.517193191,-2.302585093,1.955660102,5.298317367,24.085754,25
0.5,15,0.04,-4.390058806,-2.27789248,4.029806041,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186,23.755945,25
0.5,10,0.04,-4.688551795,-2.848140197,3.218875825,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186,24.085754,25
0.2,15,0.04,-5.014643315,-2.803130407,3.113515309,3.218875825,8.517193191,-2.302585093,1.955660102,5.298317367,24.224669,25
0.2,20,0.04,-4.108037889,-1.750609848,3.688879454,3.218875825,8.517193191,0,1.955660102,5.298317367,14.558756,25
0.5,15,0.04,-4.401413348,-2.265751843,4.029806041,3.218875825,9.433483923,-2.302585093,2.648807283,6.214608098,23.755945,25
0.2,20,0.04,-4.947660495,-2.555466463,3.688879454,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186,24.396057,25
0.2,15,0.04,-4.876978909,-2.711877516,3.113515309,3.218875825,7.824046011,-2.302585093,1.550194994,4.605170186,24.224669,25
0.1,20,0.04,-3.91904762,-1.688307975,2.995732274,2.302585093,7.60090246,0,1.03936937,5.298317367,9.097676,10
0.2,15,0.04,-4.294748627,-2.194125385,3.113515309,3.218875825,8.517193191,0,1.955660102,5.298317367,17.794512,25
0.2,10,0.04,-3.695300022,-2.02286463,2.302585093,2.302585093,6.907755279,0,0.633904262,4.605170186,8.14566,10
0.1,5,0.04,-2.706351644,-1.815773512,0.223143551,0,4.605170186,0,-1.668680831,4.605170186,0.9527082,1
0.5,10,0.04,-2.353457423,-0.728923592,3.218875825,1.609437912,6.907755279,0,0.34622219,5.298317367,5.0959835,4.999999998
0.5,5,0.04,-2.786444269,-1.780914489,1.832581464,1.609437912,6.214608098,0,-0.059242918,4.605170186,4.023006,4.999999998
0.2,20,0.04,-4.198372633,-1.852121126,3.688879454,3.218875825,9.433483923,0,2.648807283,6.214608098,16.861517,25
0.5,10,0.04,-2.353457423,-0.728923592,3.218875825,1.609437912,6.907755279,0,0.34622219,5.298317367,5.0959835,4.999999998
0.1,5,0.04,-2.827171632,-1.913954222,0.223143551,0,5.298317367,0,-1.263215723,5.298317367,0.97163546,1
0.1,10,0.04,-3.658156281,-2.040651691,1.609437912,1.609437912,6.214608098,0,-0.059242918,4.605170186,3.7762074,4.999999998
0.2,10,0.04,-3.077810385,-1.465943813,2.302585093,1.609437912,6.214608098,0,-0.059242918,4.605170186,4.0470905,4.999999998
0.1,15,0.04,-4.190415031,-2.155131072,2.420368129,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367,5.1791153,4.999999998
0.5,20,0.08,-3.654284809,-1.411833732,4.605170186,1.609437912,6.907755279,-2.302585093,1.03936937,5.298317367,5.8303633,4.999999998
0.5,20,0.08,-4.385231766,-2.00556674,4.605170186,2.302585093,8.517193191,-2.302585093,2.425663731,6.214608098,10.073694,10
0.1,20,0.04,-3.986746552,-1.760051522,2.995732274,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367,5.2071733,4.999999998
0.1,20,0.04,-3.802272141,-1.618337396,2.995732274,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186,5.6458488,4.999999998
0.1,15,0.08,-3.669861448,-2.002954687,2.420368129,0,6.214608098,-2.302585093,0.123078638,6.214608098,1.0141137,1
0.1,15,0.04,-4.190415031,-2.155131072,2.420368129,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367,5.1791153,4.999999998
0.1,15,0.04,-4.022954566,-2.028626762,2.420368129,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186,5.1791153,4.999999998
0.5,10,0.08,-2.75986995,-1.25650195,3.218875825,0,5.298317367,-2.302585093,-0.570068542,5.298317367,1.006721,1
0.5,10,0.04,-4.530062714,-2.726132709,3.218875825,3.218875825,8.517193191,-2.302585093,1.955660102,5.298317367,24.085754,25
0.2,20,0.08,-4.195713057,-1.992046238,3.688879454,1.609437912,6.214608098,-2.302585093,0.633904262,4.605170186,4.929224,4.999999998
0.1,10,0.04,-3.135914304,-1.656634347,1.609437912,0,4.605170186,-1.609437912,-1.668680831,4.605170186,1.0506072,1
0.1,5,0.04,-3.755019257,-2.729866454,0.223143551,0,4.605170186,-1.609437912,-1.668680831,4.605170186,1.0329924,1
0.2,10,0.04,-4.884884089,-3.023884865,2.302585093,2.302585093,8.517193191,-1.609437912,1.732516551,6.214608098,9.556702,10
0.2,10,0.04,-2.997333555,-1.399403917,2.302585093,0,6.214608098,-1.609437912,-0.570068542,6.214608098,1.2960135,1
0.1,15,0.04,-5.132802928,-2.907355163,2.420368129,2.302585093,7.60090246,-1.609437912,1.03936937,5.298317367,10.23077,10
0.2,10,0.04,-4.054739308,-2.379595735,2.302585093,1.609437912,6.214608098,-1.609437912,-0.059242918,4.605170186,5.661991,4.999999998
0.1,5,0.04,-3.9633163,-2.840507885,0.223143551,0,5.298317367,-1.609437912,-1.263215723,5.298317367,1.0329924,1
0.2,20,0.08,-4.520829038,-2.197288579,3.688879454,1.609437912,6.214608098,-1.609437912,0.633904262,4.605170186,4.9828224,4.999999998
0.1,15,0.08,-4.00743319,-2.218685218,2.420368129,0,6.214608098,-1.609437912,0.123078638,6.214608098,1.1490823,1
0.5,20,0.08,-4.71721969,-2.240925713,4.605170186,2.302585093,8.517193191,-1.609437912,2.425663731,6.214608098,10.009506,10
0.5,20,0.08,-3.780117935,-1.551319959,4.605170186,1.609437912,6.214608098,-1.609437912,0.633904262,4.605170186,5.4406204,4.999999998
0.2,5,0.04,-2.772588722,-1.829261979,0.916290732,0,4.605170186,-2.302585093,-1.668680831,4.605170186,0.9799405,1
0.2,10,0.04,-2.502989157,-0.996330106,2.302585093,0,4.605170186,-1.609437912,-1.668680831,4.605170186,0.98182225,1
0.2,10,0.04,-2.502989157,-0.996330106,2.302585093,0,4.605170186,-1.609437912,-1.668680831,4.605170186,0.98182225,1
0.5,5,0.04,-1.761075087,-0.817377958,1.832581464,0,4.605170186,-2.302585093,-1.668680831,4.605170186,1.0568874,1
0.1,10,0.04,-3.135914304,-1.656634347,1.609437912,0,4.605170186,-1.609437912,-1.668680831,4.605170186,1.0506072,1
0.2,10,0.04,-2.23792158,-0.779934583,2.302585093,0,4.605170186,-2.302585093,-1.668680831,4.605170186,0.9998605,1
0.2,10,0.04,-2.23792158,-0.779934583,2.302585093,0,4.605170186,-2.302585093,-1.668680831,4.605170186,0.9998605,1
0.1,5,0.04,-3.408826409,-2.445993676,0.223143551,0,4.605170186,-2.302585093,-1.668680831,4.605170186,1.0282255,1
0.1,5,0.04,-2.706351644,-1.815773512,0.223143551,0,4.605170186,0,-1.668680831,4.605170186,0.9527082,1
0.1,5,0.04,-2.706351644,-1.815773512,0.223143551,0,4.605170186,0,-1.668680831,4.605170186,0.9527082,1
0.5,5,0.04,-1.761075087,-0.817377958,1.832581464,0,4.605170186,-2.302585093,-1.668680831,4.605170186,1.0568874,1
0.5,10,0.04,-2.904430115,-1.259443232,3.218875825,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186,6.001993,4.999999998
0.1,10,0.04,-3.658156281,-2.040651691,1.609437912,1.609437912,6.214608098,0,-0.059242918,4.605170186,3.7762074,4.999999998
0.5,5,0.04,-3.772261063,-2.692550938,1.832581464,1.609437912,6.214608098,-1.609437912,-0.059242918,4.605170186,4.807754,4.999999998
0.5,5,0.04,-2.786444269,-1.780914489,1.832581464,1.609437912,6.214608098,0,-0.059242918,4.605170186,4.023006,4.999999998
0.5,10,0.04,-2.904430115,-1.259443232,3.218875825,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186,6.001993,4.999999998
0.5,10,0.04,-2.904430115,-1.259443232,3.218875825,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186,6.001993,4.999999998
0.5,5,0.04,-2.786444269,-1.780914489,1.832581464,1.609437912,6.214608098,0,-0.059242918,4.605170186,4.023006,4.999999998
0.2,15,0.04,-3.402197882,-1.417661197,3.113515309,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186,6.459517,4.999999998
0.2,20,0.04,-3.186408635,-0.992167961,3.688879454,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186,5.0140214,4.999999998
0.1,10,0.04,-3.658156281,-2.040651691,1.609437912,1.609437912,6.214608098,0,-0.059242918,4.605170186,3.7762074,4.999999998
0.5,5,0.04,-3.48675527,-2.442215044,1.832581464,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186,5.564662,4.999999998
0.5,10,0.04,-3.597942459,-1.913954222,3.218875825,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186,10.335,10
0.2,10,0.04,-4.377238118,-2.641813123,2.302585093,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186,9.1602745,10
0.1,20,0.04,-4.411249493,-2.116470738,2.995732274,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186,8.021503,10
0.2,10,0.04,-4.377238118,-2.641813123,2.302585093,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186,9.1602745,10
0.5,20,0.08,-3.780117935,-1.551319959,4.605170186,1.609437912,6.214608098,-1.609437912,0.633904262,4.605170186,5.4406204,4.999999998
0.2,15,0.04,-4.052435159,-2.000201618,3.113515309,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186,8.785954,10
0.5,15,0.04,-3.520656822,-1.464748997,4.029806041,2.302585093,6.907755279,-1.609437912,0.633904262,4.605170186,11.24303,10
0.5,10,0.04,-3.891240466,-2.195705731,3.218875825,2.302585093,6.907755279,-1.609437912,0.633904262,4.605170186,12.053216,10
0.2,10,0.04,-4.706096105,-2.869416854,2.302585093,2.302585093,6.907755279,-1.609437912,0.633904262,4.605170186,9.556702,10
0.2,20,0.04,-3.814896295,-1.524894579,3.688879454,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186,8.146056,10
0.2,15,0.04,-3.399199379,-1.390945159,3.113515309,2.302585093,6.907755279,0,0.633904262,4.605170186,7.889349,10
0.5,20,0.08,-3.473123121,-1.261234753,4.605170186,2.302585093,6.907755279,0,1.327051443,4.605170186,9.654018,10
0.5,20,0.08,-3.473123121,-1.261234753,4.605170186,2.302585093,6.907755279,0,1.327051443,4.605170186,9.654018,10
0.5,20,0.08,-3.473123121,-1.261234753,4.605170186,2.302585093,6.907755279,0,1.327051443,4.605170186,9.654018,10
0.5,20,0.08,-4.105607755,-1.793456909,4.605170186,2.302585093,6.907755279,-2.302585093,1.327051443,4.605170186,7.9582944,10
0.5,20,0.08,-3.473123121,-1.261234753,4.605170186,2.302585093,6.907755279,0,1.327051443,4.605170186,9.654018,10
0.5,20,0.08,-3.473123121,-1.261234753,4.605170186,2.302585093,6.907755279,0,1.327051443,4.605170186,9.654018,10
0.5,20,0.08,-3.473123121,-1.261234753,4.605170186,2.302585093,6.907755279,0,1.327051443,4.605170186,9.654018,10
0.5,20,0.08,-4.472389075,-2.067797596,4.605170186,2.302585093,6.907755279,-1.609437912,1.327051443,4.605170186,10.040667,10
