m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu
0.5,15,0.04,-4.723953722,-2.566602724,4.029806041,3.218875825,9.433483923,-1.609437912,2.648807283,6.214608098
0.5,15,0.04,-3.649658741,-1.559829036,4.029806041,3.218875825,9.433483923,0,2.648807283,6.214608098
0.2,15,0.04,-4.377238118,-2.29188257,3.113515309,3.218875825,9.433483923,0,2.648807283,6.214608098
0.2,20,0.04,-5.306349538,-2.802338903,3.688879454,3.218875825,9.433483923,-1.609437912,2.648807283,6.214608098
0.2,15,0.04,-5.146455017,-2.885336456,3.113515309,3.218875825,9.433483923,-2.302585093,2.648807283,6.214608098
0.2,20,0.04,-4.958992061,-2.524679195,3.688879454,3.218875825,9.433483923,-2.302585093,2.648807283,6.214608098
0.2,20,0.04,-4.958992061,-2.524679195,3.688879454,3.218875825,9.433483923,-2.302585093,2.648807283,6.214608098
0.2,20,0.04,-4.198372633,-1.852121126,3.688879454,3.218875825,9.433483923,0,2.648807283,6.214608098
0.5,10,0.04,-3.904054836,-2.190471431,3.218875825,3.218875825,9.433483923,0,2.648807283,6.214608098
0.2,15,0.04,-5.146455017,-2.885336456,3.113515309,3.218875825,9.433483923,-2.302585093,2.648807283,6.214608098
0.5,15,0.04,-3.649658741,-1.559829036,4.029806041,3.218875825,9.433483923,0,2.648807283,6.214608098
0.2,10,0.04,-2.437717767,-0.936932311,2.302585093,0,5.298317367,-2.302585093,-1.263215723,5.298317367
0.5,15,0.08,-3.01023696,-1.13576602,4.029806041,0,6.214608098,-1.609437912,0.123078638,6.214608098
0.5,5,0.04,-2.039605633,-1.081472026,1.832581464,0,5.298317367,-2.302585093,-1.263215723,5.298317367
0.5,10,0.08,-2.864002503,-1.3632343,3.218875825,0,4.605170186,-1.609437912,-0.97553365,4.605170186
0.1,10,0.04,-2.873160721,-1.443211863,1.609437912,0,4.605170186,-2.302585093,-1.668680831,4.605170186
0.5,15,0.08,-3.01023696,-1.13576602,4.029806041,0,6.214608098,-1.609437912,0.123078638,6.214608098
0.5,5,0.04,-2.686484423,-1.691754871,1.832581464,0,6.214608098,-1.609437912,-0.570068542,6.214608098
0.2,10,0.08,-3.604538306,-2.084639025,2.302585093,0,4.605170186,-1.609437912,-0.97553365,4.605170186
0.1,5,0.04,-3.711534145,-2.673185114,0.223143551,0,6.214608098,-2.302585093,-0.570068542,6.214608098
0.5,5,0.04,-2.261059346,-1.285877244,1.832581464,0,6.214608098,-2.302585093,-0.570068542,6.214608098
0.1,5,0.04,-2.827171632,-1.913954222,0.223143551,0,5.298317367,0,-1.263215723,5.298317367
0.5,20,0.08,-3.796910198,-1.527968531,4.605170186,1.609437912,7.824046011,-2.302585093,1.732516551,6.214608098
0.1,10,0.04,-4.495419322,-2.745316026,1.609437912,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367
0.2,20,0.04,-3.583438942,-1.302865393,3.688879454,1.609437912,7.824046011,-2.302585093,1.03936937,6.214608098
0.1,10,0.04,-4.601178165,-2.827644877,1.609437912,1.609437912,7.824046011,-2.302585093,1.03936937,6.214608098
0.5,10,0.04,-3.464776363,-1.787942762,3.218875825,1.609437912,6.907755279,-1.609437912,0.34622219,5.298317367
0.5,20,0.08,-3.50789212,-1.320356819,4.605170186,1.609437912,6.214608098,-2.302585093,0.633904262,4.605170186
0.2,15,0.04,-3.684090937,-1.674424534,3.113515309,1.609437912,6.214608098,-1.609437912,-0.059242918,4.605170186
0.5,5,0.04,-2.894259305,-1.879856526,1.832581464,1.609437912,6.907755279,0,0.34622219,5.298317367
0.5,20,0.08,-3.654284809,-1.411833732,4.605170186,1.609437912,6.907755279,-2.302585093,1.03936937,5.298317367
0.5,20,0.08,-3.796910198,-1.527968531,4.605170186,1.609437912,7.824046011,-2.302585093,1.732516551,6.214608098
0.2,10,0.04,-3.207441447,-1.570140279,2.302585093,1.609437912,6.907755279,0,0.34622219,5.298317367
0.2,15,0.04,-4.230851807,-2.15254571,3.113515309,2.302585093,7.60090246,-2.302585093,1.03936937,5.298317367
0.5,15,0.04,-2.697703909,-0.673697557,4.029806041,2.302585093,7.60090246,0,1.03936937,5.298317367
0.2,10,0.04,-3.695300022,-2.02286463,2.302585093,2.302585093,6.907755279,0,0.633904262,4.605170186
0.2,15,0.04,-3.524043212,-1.497216983,3.113515309,2.302585093,7.60090246,0,1.03936937,5.298317367
0.2,15,0.04,-3.399199379,-1.390945159,3.113515309,2.302585093,6.907755279,0,0.633904262,4.605170186
0.1,15,0.04,-5.210306489,-2.978993158,2.420368129,2.302585093,8.517193191,-1.609437912,1.732516551,6.214608098
