Archive No,D (m),l,m (kg),v (m/s),E (kPa),cu (kPa),E/cu,G/cu,Total penetration/ D,Time of travel (s) ,Initial Kinetic Energy = mv2/2 (kgm2/s2),(cupD3/4) (kgm2/s2),(mv2/2)/ (cupD3/4)
246,0.04,0.2,0.1,15,1000,10,100,33.33333333,1.4821,0.0065,11.25,0.502654825,22.38116387
248,0.04,0.2,0.2,10,1000,10,100,33.33333333,1.4183,0.00904,10,0.502654825,19.89436789
251,0.04,0.2,0.5,10,1000,10,100,33.33333333,2.782,0.02042,25,0.502654825,49.73591972
252,0.04,0.2,0.5,15,1000,10,100,33.33333333,5.7784,0.02958,56.25,0.502654825,111.9058194
253,0.04,0.2,0.5,20,1000,10,100,33.33333333,10.0643,0.03974,100,0.502654825,198.9436789
254,0.08,0.2,0.5,20,1000,10,100,33.33333333,1.5808,0.01142,100,4.021238597,24.86795986
255,0.04,0.2,0.2,15,2500,25,100,33.33333333,1.35,0.00572,22.5,1.256637061,17.9049311
256,0.04,0.2,0.2,20,2500,25,100,33.33333333,1.9414,0.0071,40,1.256637061,31.83098862
257,0.04,0.2,0.5,10,2500,25,100,33.33333333,1.4488,0.0092,25,1.256637061,19.89436789
258,0.04,0.2,0.5,15,2500,25,100,33.33333333,2.5625,0.0124,56.25,1.256637061,44.76232774
259,0.04,0.2,0.5,20,2500,25,100,33.33333333,4.1721,0.0158,100,1.256637061,79.57747155
260,0.04,0.2,0.1,5,200,1,200,66.66666667,1.4599,0.019,1.25,0.050265482,24.86795986
261,0.04,0.2,0.1,10,200,1,200,66.66666667,4.0073,0.03418,5,0.050265482,99.47183943
262,0.04,0.2,0.2,5,200,1,200,66.66666667,2.4494,0.0363,2.5,0.050265482,49.73591972
263,0.04,0.2,0.2,10,200,1,200,66.66666667,7.5548,0.06402,10,0.050265482,198.9436789
264,0.04,0.2,0.5,5,200,1,200,66.66666667,5.7433,0.08694,6.25,0.050265482,124.3397993
265,0.08,0.2,0.1,15,200,1,200,66.66666667,1.5098,0.0203,11.25,0.40212386,27.97645484
267,0.08,0.2,0.2,10,200,1,200,66.66666667,1.4416,0.02314,10,0.40212386,24.86795986
268,0.08,0.2,0.2,15,200,1,200,66.66666667,2.3487,0.03188,22.5,0.40212386,55.95290968
270,0.08,0.2,0.5,10,200,1,200,66.66666667,2.7949,0.0468,25,0.40212386,62.16989965
271,0.08,0.2,0.5,15,200,1,200,66.66666667,4.5202,0.0599,56.25,0.40212386,139.8822742
272,0.04,0.2,0.1,10,1000,5,200,66.66666667,1.2994,0.00838,5,0.251327412,19.89436789
273,0.04,0.2,0.1,15,1000,5,200,66.66666667,2.1579,0.01098,11.25,0.251327412,44.76232774
274,0.04,0.2,0.1,20,1000,5,200,66.66666667,3.3329,0.01356,20,0.251327412,79.57747155
275,0.04,0.2,0.2,10,1000,5,200,66.66666667,1.9855,0.01426,10,0.251327412,39.78873577
276,0.04,0.2,0.2,15,1000,5,200,66.66666667,3.7908,0.01964,22.5,0.251327412,89.52465549
277,0.04,0.2,0.2,20,1000,5,200,66.66666667,6.0784,0.02486,40,0.251327412,159.1549431
278,0.04,0.2,0.5,5,1000,5,200,66.66666667,1.4995,0.0194,6.25,0.251327412,24.86795986
279,0.04,0.2,0.5,10,1000,5,200,66.66666667,4.1826,0.03128,25,0.251327412,99.47183943
280,0.08,0.2,0.2,20,1000,5,200,66.66666667,1.3014,0.00994,40,2.010619298,19.89436789
281,0.08,0.2,0.5,15,1000,5,200,66.66666667,1.5444,0.01472,56.25,2.010619298,27.97645484
282,0.08,0.2,0.5,20,1000,5,200,66.66666667,2.3315,0.01882,100,2.010619298,49.73591972
283,0.04,0.2,0.1,15,2000,10,200,66.66666667,1.3655,0.0059,11.25,0.502654825,22.38116387
285,0.04,0.2,0.2,10,2000,10,200,66.66666667,1.3017,0.00818,10,0.502654825,19.89436789
287,0.04,0.2,0.2,20,2000,10,200,66.66666667,3.4234,0.01316,40,0.502654825,79.57747155
288,0.04,0.2,0.5,10,2000,10,200,66.66666667,2.3533,0.0167,25,0.502654825,49.73591972
289,0.04,0.2,0.5,15,2000,10,200,66.66666667,4.5717,0.0229,56.25,0.502654825,111.9058194
291,0.08,0.2,0.5,20,2000,10,200,66.66666667,1.438,0.0098,100,4.021238597,24.86795986
292,0.04,0.2,0.2,15,5000,25,200,66.66666667,1.2448,0.0052,22.5,1.256637061,17.9049311
293,0.04,0.2,0.2,20,5000,25,200,66.66666667,1.7256,0.00614,40,1.256637061,31.83098862
294,0.04,0.2,0.5,10,5000,25,200,66.66666667,1.3172,0.0081,25,1.256637061,19.89436789
295,0.04,0.2,0.5,15,5000,25,200,66.66666667,2.1797,0.01018,56.25,1.256637061,44.76232774
296,0.04,0.2,0.5,20,5000,25,200,66.66666667,3.4261,0.01264,100,1.256637061,79.57747155
297,0.04,0.2,0.1,5,500,1,500,166.6666667,1.3512,0.01734,1.25,0.050265482,24.86795986
298,0.04,0.2,0.1,10,500,1,500,166.6666667,3.44,0.02786,5,0.050265482,99.47183943
299,0.04,0.2,0.2,5,500,1,500,166.6666667,2.0961,0.02992,2.5,0.050265482,49.73591972
300,0.04,0.2,0.2,10,500,1,500,166.6666667,6.1686,0.04992,10,0.050265482,198.9436789
301,0.04,0.2,0.5,5,500,1,500,166.6666667,4.6049,0.06812,6.25,0.050265482,124.3397993
302,0.08,0.2,0.1,15,500,1,500,166.6666667,1.3594,0.01818,11.25,0.40212386,27.97645484
303,0.08,0.2,0.1,20,500,1,500,166.6666667,1.8651,0.02164,20,0.40212386,49.73591972
304,0.08,0.2,0.2,10,500,1,500,166.6666667,1.3186,0.02056,10,0.40212386,24.86795986
305,0.08,0.2,0.2,15,500,1,500,166.6666667,2.1023,0.027,22.5,0.40212386,55.95290968
307,0.08,0.2,0.5,10,500,1,500,166.6666667,2.4177,0.0392,25,0.40212386,62.16989965
308,0.08,0.2,0.5,15,500,1,500,166.6666667,4.0147,0.04928,56.25,0.40212386,139.8822742
310,0.04,0.2,0.1,15,2500,5,500,166.6666667,1.8684,0.00914,11.25,0.251327412,44.76232774
313,0.04,0.2,0.2,15,2500,5,500,166.6666667,3.1953,0.016,22.5,0.251327412,89.52465549
314,0.04,0.2,0.2,20,2500,5,500,166.6666667,5.0203,0.01988,40,0.251327412,159.1549431
315,0.04,0.2,0.5,5,2500,5,500,166.6666667,1.3684,0.01684,6.25,0.251327412,24.86795986
317,0.08,0.2,0.2,20,2500,5,500,166.6666667,1.2042,0.00904,40,2.010619298,19.89436789
318,0.08,0.2,0.5,15,2500,5,500,166.6666667,1.4021,0.01276,56.25,2.010619298,27.97645484
319,0.08,0.2,0.5,20,2500,5,500,166.6666667,2.0093,0.01566,100,2.010619298,49.73591972
320,0.04,0.2,0.1,15,5000,10,500,166.6666667,1.2711,0.00546,11.25,0.502654825,22.38116387
322,0.04,0.2,0.2,10,5000,10,500,166.6666667,1.2153,0.00756,10,0.502654825,19.89436789
325,0.04,0.2,0.5,10,5000,10,500,166.6666667,2.0652,0.0144,25,0.502654825,49.73591972
326,0.04,0.2,0.5,15,5000,10,500,166.6666667,3.825,0.01888,56.25,0.502654825,111.9058194
327,0.04,0.2,0.5,20,5000,10,500,166.6666667,6.2259,0.0237,100,0.502654825,198.9436789
328,0.08,0.2,0.5,20,5000,10,500,166.6666667,1.3295,0.00894,100,4.021238597,24.86795986
329,0.04,0.2,0.2,15,12500,25,500,166.6666667,1.1595,0.0048,22.5,1.256637061,17.9049311
330,0.04,0.2,0.2,20,12500,25,500,166.6666667,1.5167,0.00496,40,1.256637061,31.83098862
331,0.04,0.2,0.5,10,12500,25,500,166.6666667,1.2246,0.00746,25,1.256637061,19.89436789
332,0.04,0.2,0.5,15,12500,25,500,166.6666667,1.9199,0.00888,56.25,1.256637061,44.76232774
333,0.04,0.2,0.5,20,12500,25,500,166.6666667,2.915,0.01052,100,1.256637061,79.57747155
